team,player_name,player_type,batting_t20_m,batting_t20_inn,batting_t20_runs,batting_t20_bf,batting_t20_hs,batting_t20_avg,batting_t20_sr,batting_t20_no,batting_t20_4s,batting_t20_6s,batting_t20_50,batting_t20_100,batting_t20_200,bowling_t20_m,bowling_t20_inn,bowling_t20_b,bowling_t20_runs,bowling_t20_wkts,bowling_t20_avg,bowling_t20_econ,bowling_t20_sr,bowling_t20_bbi,bowling_t20_bbm,bowling_t20_5w,bowling_t20_10w,batting_ipl_m,batting_ipl_inn,batting_ipl_runs,batting_ipl_bf,batting_ipl_hs,batting_ipl_avg,batting_ipl_sr,batting_ipl_no,batting_ipl_4s,batting_ipl_6s,batting_ipl_50,batting_ipl_100,batting_ipl_200,bowling_ipl_m,bowling_ipl_inn,bowling_ipl_b,bowling_ipl_runs,bowling_ipl_wkts,bowling_ipl_avg,bowling_ipl_econ,bowling_ipl_sr,bowling_ipl_bbi,bowling_ipl_bbm,bowling_ipl_5w,bowling_ipl_10w,boundary_ratio,batting_consistency,economy_impact,strike_power,is_allrounder,player,IsPlaying,Credits,Player Type
CHE,MS Dhoni,WK,98,85.0,1617.0,1282.0,56.0,37.6,126.14,42.0,116.0,52.0,2.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,269.0,234.0,5346.0,3879.0,84.0,39.31,137.82,98.0,369.0,259.0,24.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1618973962361433,0.2852271078217965,0.0,0.0,0,ms dhoni,PLAYING,7.0,WK
KKR,Harshit Rana,BOWL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,33.0,3.0,11.0,8.25,8.0,3/33,3/33,0.0,0.0,25.0,6.0,21.0,26.0,10.0,5.25,80.77,2.0,3.0,0.0,0.0,0.0,0.0,25.0,24.0,481.0,743.0,30.0,24.77,9.27,16.03,3/24,3/24,0.0,0.0,0.1153846153846153,0.0649993809582765,3.236245954692557,1.8714909544603864,0,harshit rana,PLAYING,8.0,BOWL
KKR,Vaibhav Arora,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,24.0,8.0,9.0,16.0,2.0,4.5,56.25,6.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,473.0,725.0,25.0,29.0,9.2,18.92,3/27,3/27,0.0,0.0,0.0,0.08,2.717391304347826,1.321353065539112,0,vaibhav arora,PLAYING,7.0,BOWL
KKR,Varun Chakravarthy,BOWL,18,3.0,1.0,6.0,1.0,0.5,16.67,1.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,411.0,481.0,33.0,14.58,7.02,12.45,5/17,5/17,2.0,0.0,75.0,12.0,25.0,46.0,10.0,6.25,54.35,8.0,2.0,0.0,0.0,0.0,0.0,75.0,75.0,1702.0,2127.0,89.0,23.9,7.5,19.12,5/20,5/20,1.0,0.0,0.0434782608695652,0.1149954001839926,11.866666666666667,4.654811715481172,0,varun chakravarthy,PLAYING,9.0,BOWL
KKR,Ramandeep Singh,ALL,2,1.0,15.0,6.0,15.0,15.0,250.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,20.0,42.0,1.0,42.0,12.6,20.0,1/42,1/42,0.0,0.0,24.0,16.0,199.0,125.0,35.0,24.88,159.2,8.0,9.0,15.0,0.0,0.0,0.0,24.0,4.0,40.0,63.0,6.0,10.5,9.45,6.67,3/20,3/20,0.0,0.0,0.192,0.1562814070351758,0.634920634920635,0.8995502248875562,0,ramandeep singh,PLAYING,6.5,ALL
KKR,Rinku Singh,BAT,33,24.0,546.0,339.0,69.0,42.0,161.07,11.0,45.0,31.0,3.0,0.0,0.0,33.0,1.0,6.0,3.0,2.0,1.5,3.0,3.0,2/3,2/3,0.0,0.0,50.0,44.0,992.0,679.0,67.0,32.0,146.1,13.0,79.0,50.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1899852724594992,0.2190280629705681,0.0,0.0,0,rinku singh,PLAYING,7.5,BAT
KKR,Venkatesh Iyer,BAT,9,7.0,133.0,82.0,35.0,33.25,162.2,3.0,15.0,5.0,0.0,0.0,0.0,9.0,4.0,55.0,75.0,5.0,15.0,8.18,11.0,2/23,2/23,0.0,0.0,55.0,53.0,1440.0,1041.0,104.0,31.3,138.33,7.0,135.0,65.0,12.0,1.0,0.0,55.0,9.0,81.0,143.0,3.0,47.67,10.59,27.0,2/29,2/29,0.0,0.0,0.1921229586935638,0.2262705125424708,0.28328611898017,0.1111111111111111,0,venkatesh iyer,PLAYING,8.0,BAT
KKR,Moeen Ali,ALL,92,75.0,1229.0,863.0,72.0,21.19,142.42,17.0,88.0,68.0,7.0,0.0,0.0,92.0,71.0,999.0,1384.0,51.0,27.14,8.31,19.59,3/24,3/24,0.0,0.0,69.0,58.0,1167.0,833.0,93.0,22.44,140.1,6.0,95.0,67.0,6.0,0.0,0.0,69.0,53.0,782.0,916.0,37.0,24.76,7.03,21.14,4/26,4/26,0.0,0.0,0.1944777911164465,0.1601713062098501,5.263157894736842,1.750236518448439,1,moeen ali,PLAYING,7.0,ALL
KKR,Quinton de Kock,WK,92,91.0,2584.0,1868.0,100.0,31.51,138.33,9.0,264.0,103.0,16.0,1.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,112.0,112.0,3275.0,2436.0,140.0,31.19,134.45,7.0,325.0,131.0,24.0,2.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1871921182266009,0.2319821494979546,0.0,0.0,0,quinton de kock,PLAYING,8.0,WK
KKR,Andre Russell,ALL,83,72.0,1063.0,648.0,71.0,22.15,164.05,24.0,63.0,89.0,3.0,0.0,0.0,83.0,72.0,1191.0,1841.0,60.0,30.68,9.27,19.85,3/19,3/19,0.0,0.0,131.0,109.0,2501.0,1440.0,88.0,28.1,173.69,20.0,172.0,210.0,11.0,0.0,0.0,131.0,115.0,1736.0,2734.0,120.0,22.78,9.45,14.47,5/15,5/15,1.0,0.0,0.2652777777777778,0.1617824860383442,12.6984126984127,8.2930200414651,1,andre russell,PLAYING,8.0,ALL
KKR,Sunil Narine,ALL,51,23.0,155.0,138.0,30.0,10.33,112.32,8.0,13.0,5.0,0.0,0.0,0.0,51.0,49.0,1102.0,1105.0,52.0,21.25,6.02,21.19,4/12,4/12,0.0,0.0,180.0,114.0,1615.0,973.0,109.0,17.18,165.99,20.0,173.0,103.0,7.0,1.0,0.0,180.0,179.0,4159.0,4698.0,182.0,25.81,6.78,22.85,5/19,5/19,1.0,0.0,0.2836587872559095,0.1035002108560756,26.843657817109143,7.964989059080962,1,sunil narine,PLAYING,9.0,ALL
KKR,Ajinkya Rahane,BAT,20,20.0,375.0,331.0,61.0,20.83,113.3,2.0,32.0,6.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,190.0,176.0,4826.0,3876.0,105.0,30.35,124.51,17.0,495.0,115.0,32.0,2.0,0.0,190.0,1.0,6.0,5.0,1.0,5.0,5.0,6.0,1/5,1/5,0.0,0.0,0.1573787409700722,0.2437555216448478,0.2,0.1666666666666666,0,ajinkya rahane,PLAYING,8.0,BAT
